canonical_ticker_fja,last_seen_as_is_in_bk,first_absent_in_bk,candidate_new_symbols_in_bk,detection_type,sec_edgar_verdict,resolved_historical_ticker,resolution_confidence,resolution_note,confidence_tier
CLX,2009-12-31,2010-01-31,"['BRK.B', 'MXB', 'NYSE:\xa0CLF', 'NYSE:\xa0CLX', 'NYSE:\xa0CMS', 'NYSE:\xa0COH', 'NYSE:\xa0SAI', 'NYSE:\xa0V', 'Nasdaq:\xa0CME', 'Nasdaq:\xa0ROST']",구간 중간 이탈 (전환 시점 신규 등장 티커 대조),FALSE POSITIVE (SEC 대조로 확인됨),,,,미해결
CME,2009-12-31,2010-01-31,"['BRK.B', 'MXB', 'NYSE:\xa0CLF', 'NYSE:\xa0CLX', 'NYSE:\xa0CMS', 'NYSE:\xa0COH', 'NYSE:\xa0SAI', 'NYSE:\xa0V', 'Nasdaq:\xa0CME', 'Nasdaq:\xa0ROST']",구간 중간 이탈 (전환 시점 신규 등장 티커 대조),FALSE POSITIVE (SEC 대조로 확인됨),,,,미해결
CMS,2009-12-31,2010-01-31,"['BRK.B', 'MXB', 'NYSE:\xa0CLF', 'NYSE:\xa0CLX', 'NYSE:\xa0CMS', 'NYSE:\xa0COH', 'NYSE:\xa0SAI', 'NYSE:\xa0V', 'Nasdaq:\xa0CME', 'Nasdaq:\xa0ROST']",구간 중간 이탈 (전환 시점 신규 등장 티커 대조),FALSE POSITIVE (SEC 대조로 확인됨),,,,미해결
CPWR,2011-11-30,2011-12-31,['WPX-WI'],구간 중간 이탈 (전환 시점 신규 등장 티커 대조),FALSE POSITIVE (SEC 대조로 확인됨),,,,미해결
DXC,,2008-01-31,"['AA', 'ABK', 'ACE', 'AOC', 'BHI', 'BTU', 'CBG', 'CC', 'CIT', 'COH', 'CSC', 'CZN', 'EK', 'ERTS', 'FNM', 'FO', 'FPL', 'FRE', 'GCI', 'IACI', 'JDSU', 'KFT', 'LEH', 'LIZ', 'LTD', 'LTR', 'LUK', 'MHP', 'MOT', 'RSH', 'SLE', 'TSO', 'TYC', 'WAG', 'WFMI', 'WFR', 'WMI', 'WPI', 'WPO', 'WYN', 'YHOO', 'ZMH']",전체 구간 미일치 (예: YHOO->AABA 유형),"미검증 (상장폐지 종목, SEC 현재목록에 없음)",CSC,높음,Computer Sciences Corp — 2017년 HPE ES와 합병해 DXC 출범,Tier1: 알고리즘 확인
EKDKQ,,2008-01-31,"['AA', 'ABK', 'ACE', 'AOC', 'BHI', 'BTU', 'CBG', 'CC', 'CIT', 'COH', 'CSC', 'CZN', 'EK', 'ERTS', 'FNM', 'FO', 'FPL', 'FRE', 'GCI', 'IACI', 'JDSU', 'KFT', 'LEH', 'LIZ', 'LTD', 'LTR', 'LUK', 'MHP', 'MOT', 'RSH', 'SLE', 'TSO', 'TYC', 'WAG', 'WFMI', 'WFR', 'WMI', 'WPI', 'WPO', 'WYN', 'YHOO', 'ZMH']",전체 구간 미일치 (예: YHOO->AABA 유형),"미검증 (상장폐지 종목, SEC 현재목록에 없음)",EK,높음,Eastman Kodak — 2012년 파산,Tier1: 알고리즘 확인
FMCC,,2008-01-31,"['AA', 'ABK', 'ACE', 'AOC', 'BHI', 'BTU', 'CBG', 'CC', 'CIT', 'COH', 'CSC', 'CZN', 'EK', 'ERTS', 'FNM', 'FO', 'FPL', 'FRE', 'GCI', 'IACI', 'JDSU', 'KFT', 'LEH', 'LIZ', 'LTD', 'LTR', 'LUK', 'MHP', 'MOT', 'RSH', 'SLE', 'TSO', 'TYC', 'WAG', 'WFMI', 'WFR', 'WMI', 'WPI', 'WPO', 'WYN', 'YHOO', 'ZMH']",전체 구간 미일치 (예: YHOO->AABA 유형),"미검증 (상장폐지 종목, SEC 현재목록에 없음)",FRE,높음,"Freddie Mac — 2008년 conservatorship 후 NYSE 상장폐지, OTC 재상장",Tier1: 알고리즘 확인
FNMA,,2008-01-31,"['AA', 'ABK', 'ACE', 'AOC', 'BHI', 'BTU', 'CBG', 'CC', 'CIT', 'COH', 'CSC', 'CZN', 'EK', 'ERTS', 'FNM', 'FO', 'FPL', 'FRE', 'GCI', 'IACI', 'JDSU', 'KFT', 'LEH', 'LIZ', 'LTD', 'LTR', 'LUK', 'MHP', 'MOT', 'RSH', 'SLE', 'TSO', 'TYC', 'WAG', 'WFMI', 'WFR', 'WMI', 'WPI', 'WPO', 'WYN', 'YHOO', 'ZMH']",전체 구간 미일치 (예: YHOO->AABA 유형),"미검증 (상장폐지 종목, SEC 현재목록에 없음)",FNM,높음,"Fannie Mae — 2010년 NYSE 상장폐지, OTC 재상장",Tier1: 알고리즘 확인
HSH,,2008-01-31,"['AA', 'ABK', 'ACE', 'AOC', 'BHI', 'BTU', 'CBG', 'CC', 'CIT', 'COH', 'CSC', 'CZN', 'EK', 'ERTS', 'FNM', 'FO', 'FPL', 'FRE', 'GCI', 'IACI', 'JDSU', 'KFT', 'LEH', 'LIZ', 'LTD', 'LTR', 'LUK', 'MHP', 'MOT', 'RSH', 'SLE', 'TSO', 'TYC', 'WAG', 'WFMI', 'WFR', 'WMI', 'WPI', 'WPO', 'WYN', 'YHOO', 'ZMH']",전체 구간 미일치 (예: YHOO->AABA 유형),"미검증 (상장폐지 종목, SEC 현재목록에 없음)",,미해결,식별 실패,미해결
IAC,,2008-01-31,"['AA', 'ABK', 'ACE', 'AOC', 'BHI', 'BTU', 'CBG', 'CC', 'CIT', 'COH', 'CSC', 'CZN', 'EK', 'ERTS', 'FNM', 'FO', 'FPL', 'FRE', 'GCI', 'IACI', 'JDSU', 'KFT', 'LEH', 'LIZ', 'LTD', 'LTR', 'LUK', 'MHP', 'MOT', 'RSH', 'SLE', 'TSO', 'TYC', 'WAG', 'WFMI', 'WFR', 'WMI', 'WPI', 'WPO', 'WYN', 'YHOO', 'ZMH']",전체 구간 미일치 (예: YHOO->AABA 유형),"미검증 (상장폐지 종목, SEC 현재목록에 없음)",IACI,높음,IAC/InterActiveCorp — 2008년경 티커 단순화,Tier1: 알고리즘 확인
KATE,,2008-01-31,"['AA', 'ABK', 'ACE', 'AOC', 'BHI', 'BTU', 'CBG', 'CC', 'CIT', 'COH', 'CSC', 'CZN', 'EK', 'ERTS', 'FNM', 'FO', 'FPL', 'FRE', 'GCI', 'IACI', 'JDSU', 'KFT', 'LEH', 'LIZ', 'LTD', 'LTR', 'LUK', 'MHP', 'MOT', 'RSH', 'SLE', 'TSO', 'TYC', 'WAG', 'WFMI', 'WFR', 'WMI', 'WPI', 'WPO', 'WYN', 'YHOO', 'ZMH']",전체 구간 미일치 (예: YHOO->AABA 유형),"미검증 (상장폐지 종목, SEC 현재목록에 없음)",LIZ,높음,Liz Claiborne -> Fifth & Pacific -> Kate Spade & Co,Tier1: 알고리즘 확인
KDP,,2008-10-31,"['AA', 'AOC', 'BHI', 'BTU', 'CBG', 'CIT', 'COH', 'CSC', 'EK', 'ERTS', 'FO', 'FPL', 'GCI', 'JDSU', 'KFT', 'LIZ', 'LTD', 'LUK', 'MHP', 'MOT', 'RSH', 'SLE', 'TSO', 'TYC', 'WAG', 'WFMI', 'WFR', 'WMI', 'WPI', 'WPO', 'WYN', 'YHOO', 'ZMH']",전체 구간 미일치 (예: YHOO->AABA 유형),"미검증 (상장폐지 종목, SEC 현재목록에 없음)",DPS,높음,Dr Pepper Snapple Group — 2018년 Keurig과 합병,Tier2: 지식기반 추정(알고리즘 미확인)
LDOS,,2009-12-31,"['AA', 'AOC', 'BHI', 'BTU', 'CBG', 'COH', 'CSC', 'DPS', 'DV', 'EK', 'ERTS', 'FO', 'FPL', 'GCI', 'HCN', 'JDSU', 'KFT', 'LTD', 'LUK', 'MHP', 'MOT', 'NU', 'RSH', 'SLE', 'TSO', 'WAG', 'WFMI', 'WFR', 'WPI', 'WPO', 'WYN', 'YHOO', 'ZMH']",전체 구간 미일치 (예: YHOO->AABA 유형),"미검증 (상장폐지 종목, SEC 현재목록에 없음)",SAI,높음,(구)SAIC — 2013년 Leidos/신SAIC로 분할,Tier2: 지식기반 추정(알고리즘 미확인)
LEHMQ,,2008-01-31,"['AA', 'ABK', 'ACE', 'AOC', 'BHI', 'BTU', 'CBG', 'CC', 'CIT', 'COH', 'CSC', 'CZN', 'EK', 'ERTS', 'FNM', 'FO', 'FPL', 'FRE', 'GCI', 'IACI', 'JDSU', 'KFT', 'LEH', 'LIZ', 'LTD', 'LTR', 'LUK', 'MHP', 'MOT', 'RSH', 'SLE', 'TSO', 'TYC', 'WAG', 'WFMI', 'WFR', 'WMI', 'WPI', 'WPO', 'WYN', 'YHOO', 'ZMH']",전체 구간 미일치 (예: YHOO->AABA 유형),"미검증 (상장폐지 종목, SEC 현재목록에 없음)",LEH,높음,Lehman Brothers Holdings — 2008년 9월 파산,Tier1: 알고리즘 확인
MTLQQ,,2008-01-31,"['AA', 'ABK', 'ACE', 'AOC', 'BHI', 'BTU', 'CBG', 'CC', 'CIT', 'COH', 'CSC', 'CZN', 'EK', 'ERTS', 'FNM', 'FO', 'FPL', 'FRE', 'GCI', 'IACI', 'JDSU', 'KFT', 'LEH', 'LIZ', 'LTD', 'LTR', 'LUK', 'MHP', 'MOT', 'RSH', 'SLE', 'TSO', 'TYC', 'WAG', 'WFMI', 'WFR', 'WMI', 'WPI', 'WPO', 'WYN', 'YHOO', 'ZMH']",전체 구간 미일치 (예: YHOO->AABA 유형),"미검증 (상장폐지 종목, SEC 현재목록에 없음)",GM,확정(직접검증),"(구)General Motors — 2009년 파산, Motors Liquidation Co",Tier2: 지식기반 추정(알고리즘 미확인)
PCP,2015-12-31,2016-01-31,"['CFG', 'FRT']",구간 중간 이탈 (전환 시점 신규 등장 티커 대조),FALSE POSITIVE (SEC 대조로 확인됨),,,,미해결
RSHCQ,,2008-01-31,"['AA', 'ABK', 'ACE', 'AOC', 'BHI', 'BTU', 'CBG', 'CC', 'CIT', 'COH', 'CSC', 'CZN', 'EK', 'ERTS', 'FNM', 'FO', 'FPL', 'FRE', 'GCI', 'IACI', 'JDSU', 'KFT', 'LEH', 'LIZ', 'LTD', 'LTR', 'LUK', 'MHP', 'MOT', 'RSH', 'SLE', 'TSO', 'TYC', 'WAG', 'WFMI', 'WFR', 'WMI', 'WPI', 'WPO', 'WYN', 'YHOO', 'ZMH']",전체 구간 미일치 (예: YHOO->AABA 유형),"미검증 (상장폐지 종목, SEC 현재목록에 없음)",RSH,높음,RadioShack Corp — 2015년 파산,Tier1: 알고리즘 확인
SUNEQ,,2008-01-31,"['AA', 'ABK', 'ACE', 'AOC', 'BHI', 'BTU', 'CBG', 'CC', 'CIT', 'COH', 'CSC', 'CZN', 'EK', 'ERTS', 'FNM', 'FO', 'FPL', 'FRE', 'GCI', 'IACI', 'JDSU', 'KFT', 'LEH', 'LIZ', 'LTD', 'LTR', 'LUK', 'MHP', 'MOT', 'RSH', 'SLE', 'TSO', 'TYC', 'WAG', 'WFMI', 'WFR', 'WMI', 'WPI', 'WPO', 'WYN', 'YHOO', 'ZMH']",전체 구간 미일치 (예: YHOO->AABA 유형),"미검증 (상장폐지 종목, SEC 현재목록에 없음)",SUNE,중간,SunEdison Inc — 2016년 파산,Tier2: 지식기반 추정(알고리즘 미확인)
TEL,2009-03-31,2009-04-30,['NU'],구간 중간 이탈 (전환 시점 신규 등장 티커 대조),FALSE POSITIVE (SEC 대조로 확인됨),,,,미해결
TMUS,,2009-06-30,"['AA', 'AOC', 'BHI', 'BTU', 'CBG', 'CIT', 'COH', 'CSC', 'DPS', 'DV', 'EK', 'ERTS', 'FO', 'FPL', 'GCI', 'HCN', 'JDSU', 'KFT', 'LTD', 'LUK', 'MHP', 'MOT', 'NU', 'RSH', 'SLE', 'TSO', 'TYC', 'WAG', 'WFMI', 'WFR', 'WMI', 'WPI', 'WPO', 'WYN', 'YHOO', 'ZMH']",전체 구간 미일치 (예: YHOO->AABA 유형),"미검증 (상장폐지 종목, SEC 현재목록에 없음)",PCS,높음,MetroPCS Communications — 2013년 T-Mobile USA와 합병,Tier2: 지식기반 추정(알고리즘 미확인)
UST,2008-11-30,2008-12-31,['IRM'],구간 중간 이탈 (전환 시점 신규 등장 티커 대조),FALSE POSITIVE (SEC 대조로 확인됨),,,,미해결
VIAV,,2008-01-31,"['AA', 'ABK', 'ACE', 'AOC', 'BHI', 'BTU', 'CBG', 'CC', 'CIT', 'COH', 'CSC', 'CZN', 'EK', 'ERTS', 'FNM', 'FO', 'FPL', 'FRE', 'GCI', 'IACI', 'JDSU', 'KFT', 'LEH', 'LIZ', 'LTD', 'LTR', 'LUK', 'MHP', 'MOT', 'RSH', 'SLE', 'TSO', 'TYC', 'WAG', 'WFMI', 'WFR', 'WMI', 'WPI', 'WPO', 'WYN', 'YHOO', 'ZMH']",전체 구간 미일치 (예: YHOO->AABA 유형),"미검증 (상장폐지 종목, SEC 현재목록에 없음)",JDSU,높음,JDS Uniphase — 2015년 Viavi/Lumentum으로 분할,Tier1: 알고리즘 확인
WAMUQ,,2008-01-31,"['AA', 'ABK', 'ACE', 'AOC', 'BHI', 'BTU', 'CBG', 'CC', 'CIT', 'COH', 'CSC', 'CZN', 'EK', 'ERTS', 'FNM', 'FO', 'FPL', 'FRE', 'GCI', 'IACI', 'JDSU', 'KFT', 'LEH', 'LIZ', 'LTD', 'LTR', 'LUK', 'MHP', 'MOT', 'RSH', 'SLE', 'TSO', 'TYC', 'WAG', 'WFMI', 'WFR', 'WMI', 'WPI', 'WPO', 'WYN', 'YHOO', 'ZMH']",전체 구간 미일치 (예: YHOO->AABA 유형),"미검증 (상장폐지 종목, SEC 현재목록에 없음)",WM,높음,Washington Mutual — 2008년 파산 (現 WM=Waste Management와 티커 충돌 주의),Tier2: 지식기반 추정(알고리즘 미확인)
WYND,,2008-01-31,"['AA', 'ABK', 'ACE', 'AOC', 'BHI', 'BTU', 'CBG', 'CC', 'CIT', 'COH', 'CSC', 'CZN', 'EK', 'ERTS', 'FNM', 'FO', 'FPL', 'FRE', 'GCI', 'IACI', 'JDSU', 'KFT', 'LEH', 'LIZ', 'LTD', 'LTR', 'LUK', 'MHP', 'MOT', 'RSH', 'SLE', 'TSO', 'TYC', 'WAG', 'WFMI', 'WFR', 'WMI', 'WPI', 'WPO', 'WYN', 'YHOO', 'ZMH']",전체 구간 미일치 (예: YHOO->AABA 유형),"미검증 (상장폐지 종목, SEC 현재목록에 없음)",WYN,높음,Wyndham Worldwide — 2018년 Wyndham Destinations/Hotels로 분할,Tier1: 알고리즘 확인
